group,variation,0indexed property,0index property length descriptor
0,209,2,1
0,210,2,1
0,212,2,1
0,213,2,1
0,214,2,1
0,215,2,1
0,216,2,1
0,217,2,1
0,218,2,1
0,220,2,1
0,221,2,1
0,223,2,1
0,224,2,1
0,228,2,1
0,229,2,1
0,232,2,1
0,233,2,1
0,235,2,1
0,236,2,1
0,238,2,1
0,239,2,1
0,240,2,1
0,241,2,1
86,3,1,0
87,1,1,0
88,1,1,0
120,10,8,5
120,10,9,6
120,10,10,7
120,11,3,1
120,11,4,2
120,12,3,2
120,13,3,2
